"sample_ID","StationID","StationName","Depth","Latitude [degrees_north]","Longitude [degrees_east]","Bot_Depth [m]","Depth[m]","16S sample","Temperature","Salinity","Water_mass","Chla_fluor","NO3+NO2","QF","SD","QF","NO2","QF","SD","QF","NO3","SiO3","QF","SD","QF","PO4","QF","SD","QF","NH4","QF","SD","QF","3.76","4","0.01","4","3.75","0.01"
"16","PS99/051-1","EG1","DCM","78.99","-5.418","1002","13","X47","-1.5049","33.1704","PSWw","1.658","3.76","4","0.01","4","0.01","0","0","0","3.75","4.5","0","0","0","0.45","4","0","4","-0.1","1","0","1","8.44","4","0.08","4","8.44","0"
"17","PS99/051-1","EG1","EPI","78.99","-5.418","1002","100","","-1.1075","34.2284","AW","0.047","8.44","4","0.08","4","0","0","0","0","8.44","4.04","0","0","0","0.62","4","0","4","-0.09","1","0.01","1","12.6","4","0.06","4","12.62","-0.02"
"18","PS99/051-1","EG1","MESO","78.99","-5.418","1002","971","","-0.1388","34.8931","EBDW","","12.6","4","0.06","4","-0.02","0","0","0","12.62","7","0","0.04","0","0.83","4","0","4","-0.11","1","0.03","1","4.96","0","0.03","0","4.92","0.04"
"14","PS99/048-11","EG4","DCM","78.816","-2.729","2605","24","X19","-1.1738","34.4837","PSWw","1.52","4.96","0","0.03","0","0.04","0","0","0","4.92","2.44","0","0.14","0","0.49","0","0","0","-0.1","1","0.02","1","11.02","0","0.13","0.79","10.97","0.05"
"19","PS99/048-11","EG4","EPI","78.816","-2.729","2605","100","","3.8652","35.0533","AW","0.047","11.02","0","0.13","0.79","0.05","0","0","0","10.97","4.83","0","0.17","0","0.79","0","0","0","-0.05","1","0.02","1","13.76","0","0.05","0","13.77","-0.01"
"13","PS99/048-1","EG4","MESO","78.816","-2.729","2605","1000","","-0.2384","34.914","EBDW","","13.76","0","0.05","0","-0.01","0","0.02","0","13.77","7.1","0","0.01","0","0.91","0","0.02","0","-0.13","1","0.01","1","14.95","0","0.16","0","14.97","-0.02"
"15","PS99/048-1","EG4","BATHY","78.816","-2.729","2605","2527","","-0.7587","34.914","EBDW","","14.95","0","0.16","0","-0.02","0","0.01","0","14.97","12.07","0","0.19","0","1.04","0","0.01","0","-0.09","1","0.01","1","","","","","",""
"45","PS99/066-05","HG1","DCM","79.138","6.088","1270","17","X99","6.2711","35.3311","AW","3.415","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"46","PS99/066-05","HG1","EPI","79.138","6.088","1270","100","","4.3821","35.0895","AW","0.024","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"43","PS99/066-05","HG1","MESO","79.138","6.088","1270","500","","1.4606","34.9523","EBDW","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"44","PS99/066-05","HG1","BATHY","79.138","6.088","1270","1253","","-0.8122","34.9086","EBDW","","","","","","","","","","","","","","","","","","","","","","","5.93","0","0.07","0","5.79","0.14"
"4","PS99/042-11","HG4","DCM","79.065","4.185","2461","28","X13","0.4096","34.4399","PSWw","3.536","5.93","0","0.07","0","0.14","0","0.01","0","5.79","2.66","0","0.02","1","0.65","4","0.02","4","0.56","1","0.01","1","11.25","0","0.1","0","10.88","0.37"
"1","PS99/042-11","HG4","EPI","79.065","4.185","2461","100","","3.5104","35.0405","AW","0.05","11.25","0","0.1","0","0.37","0","0.03","0","10.88","4.16","0","0.12","1","0.85","4","0.06","4","-0.04","1","0.01","1","13.7","0","0.08","0","13.71","-0.01"
"2","PS99/042-01","HG4","MESO","79.0645","4.185","2460.9","1000","","-0.3457","34.9111","EBDW","","13.7","0","0.08","0","-0.01","0","0","0","13.71","7.7","0","0.02","1","0.94","0","0.01","0","-0.83","1","0.01","1","14.65","0","0.09","0","14.67","-0.02"
