"SAMPLE_NAME","SMP_No","FOV_No","DAPI_Nr_Set","DAPI_Nr_SubSet","Volume"
"EG1-DCM-CREN","11","1","76","0","30"
"EG1-DCM-CREN","11","2","103","0","30"
"EG1-DCM-CREN","11","4","88","0","30"
"EG1-DCM-CREN","11","5","68","2","30"
"EG1-DCM-CREN","11","6","87","0","30"
"EG1-DCM-CREN","11","7","80","0","30"
"EG1-DCM-CREN","11","8","73","0","30"
"EG1-DCM-CREN","11","9","109","1","30"
"EG1-DCM-CREN","11","10","104","0","30"
"EG1-DCM-CREN","11","13","89","1","30"
"EG1-DCM-CREN","11","14","98","4","30"
"EG1-DCM-CREN","11","16","97","1","30"
"EG1-DCM-CREN","11","17","78","0","30"
"EG1-DCM-CREN","11","20","94","0","30"
"EG1-DCM-CREN","11","21","102","0","30"
"EG1-DCM-CREN","11","22","90","0","30"
"EG1-DCM-CREN","11","23","118","2","30"
"EG1-DCM-CREN","11","24","97","3","30"
"EG1-DCM-CREN","11","28","90","2","30"
"EG1-DCM-CREN","11","29","63","0","30"
"EG1-DCM-CREN","11","31","77","0","30"
"EG1-DCM-CREN","11","32","99","0","30"
"EG1-DCM-CREN","11","34","85","1","30"
"EG1-DCM-CREN","11","36","67","0","30"
"EG1-DCM-CREN","11","41","114","0","30"
"EG1-DCM-CREN","11","42","109","1","30"
"EG1-DCM-CREN","11","44","95","1","30"
"EG1-DCM-CREN","11","46","104","2","30"
"EG1-DCM-CREN","11","47","96","0","30"
"EG1-DCM-CREN","11","48","91","1","30"
"EG1-DCM-CREN","11","49","113","0","30"
"EG1-DCM-CREN","11","50","106","0","30"
"EG1-DCM-CREN","11","51","113","1","30"
"EG1-DCM-CREN","11","53","117","1","30"
"EG1-EPI-CREN","2","2","62","0","30"
"EG1-EPI-CREN","2","3","49","0","30"
"EG1-EPI-CREN","2","4","49","1","30"
"EG1-EPI-CREN","2","5","55","2","30"
"EG1-EPI-CREN","2","6","58","3","30"
"EG1-EPI-CREN","2","7","64","2","30"
"EG1-EPI-CREN","2","8","51","1","30"
"EG1-EPI-CREN","2","9","52","2","30"
"EG1-EPI-CREN","2","10","65","2","30"
"EG1-EPI-CREN","2","11","42","0","30"
"EG1-EPI-CREN","2","12","61","0","30"
"EG1-EPI-CREN","2","13","58","0","30"
"EG1-EPI-CREN","2","14","40","0","30"
"EG1-EPI-CREN","2","15","55","1","30"
"EG1-EPI-CREN","2","16","62","2","30"
"EG1-EPI-CREN","2","17","69","0","30"
"EG1-EPI-CREN","2","19","66","1","30"
"EG1-EPI-CREN","2","20","62","1","30"
"EG1-EPI-CREN","2","21","63","1","30"
"EG1-EPI-CREN","2","22","43","2","30"
"EG1-EPI-CREN","2","24","63","2","30"
"EG1-EPI-CREN","2","25","52","1","30"
"EG1-EPI-CREN","2","26","66","2","30"
"EG1-EPI-CREN","2","27","42","3","30"
"EG1-EPI-CREN","2","28","66","2","30"
"EG1-EPI-CREN","2","29","45","0","30"
"EG1-EPI-CREN","2","30","22","0","30"
"EG1-EPI-CREN","2","31","58","1","30"
"EG1-EPI-CREN","2","32","54","2","30"
"EG1-EPI-CREN","2","33","53","2","30"
"EG1-EPI-CREN","2","36","48","1","30"
"EG1-EPI-CREN","2","37","63","0","30"
"EG1-EPI-CREN","2","38","59","1","30"
"EG1-EPI-CREN","2","39","72","1","30"
"EG1-EPI-CREN","2","40","56","3","30"
"EG1-EPI-CREN","2","41","45","2","30"
"EG1-EPI-CREN","2","42","67","2","30"
"EG1-EPI-CREN","2","44","53","4","30"
"EG1-EPI-CREN","2","46","55","1","30"
"EG1-EPI-CREN","2","50","66","3","30"
"EG1-EPI-CREN","2","52","78","3","30"
"EG1-EPI-CREN","2","53","48","0","30"
"EG1-EPI-CREN","2","54","36","1","30"
