"","Domain","variable","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1","ALT","Temperature",0.18078516009999,0.519904316363646,0.617206146392334,8,-0.506493863661029,0.727591801868639,"Pearson's product-moment correlation","two.sided"
"2","BACT","Temperature",0.37948681737672,1.16013199414327,0.279444038259556,8,-0.328670276333116,0.814500530532793,"Pearson's product-moment correlation","two.sided"
"3","CFX","Temperature",0.27014833735628,0.793602029185384,0.450322420453699,8,-0.433154251835099,0.768977357879305,"Pearson's product-moment correlation","two.sided"
"4","CREN","Temperature",-0.084860475077037,-0.24089059947437,0.815698738527358,8,-0.678247736444298,0.575515860443272,"Pearson's product-moment correlation","two.sided"
"5","DELTA","Temperature",-0.358804058549135,-1.08724780679592,0.308596362599487,8,-0.806281346796592,0.349859973226716,"Pearson's product-moment correlation","two.sided"
"6","GAM","Temperature",0.30953259011854,0.920707386691462,0.384126680970275,8,-0.397577541499133,0.785979463285445,"Pearson's product-moment correlation","two.sided"
"7","OPI","Temperature",0.603536165061371,2.14095295434248,0.0646803389360099,8,-0.0420810156524184,0.89359453719802,"Pearson's product-moment correlation","two.sided"
"8","POL","Temperature",-0.00276019229066847,-0.00780703248406749,0.993962125364826,8,-0.631289381390401,0.627957428820338,"Pearson's product-moment correlation","two.sided"
"9","ROS","Temperature",0.665447460850607,2.52151253916754,0.0357245200563208,8,0.0616525406369921,0.912677289173364,"Pearson's product-moment correlation","two.sided"
"10","SAR11","Temperature",0.589409990323715,2.06367036672908,0.07294291815765,8,-0.0639478830810546,0.889088432566628,"Pearson's product-moment correlation","two.sided"
"11","SAR202","Temperature",0.0147709239335148,0.0417830402756792,0.967695652679286,8,-0.620627311107394,0.638459447904862,"Pearson's product-moment correlation","two.sided"
"12","SAR324","Temperature",-0.350248606386601,-1.05764745997883,0.321104283096338,8,-0.802830189707345,0.358418111128835,"Pearson's product-moment correlation","two.sided"
"13","SAR406","Temperature",0.200463790638188,0.578745105101846,0.578686658505104,8,-0.491154720050158,0.737060343110716,"Pearson's product-moment correlation","two.sided"
"14","VER","Temperature",0.784721416846945,3.58075715416561,0.00718035719226111,8,0.306561308840635,0.946633741847388,"Pearson's product-moment correlation","two.sided"
"15","ALT","Salinity",0.395575339875216,1.21822209628956,0.257844977929003,8,-0.311679236703171,0.820775490124734,"Pearson's product-moment correlation","two.sided"
"16","BACT","Salinity",0.487351261224632,1.5785937105777,0.153082265657914,8,-0.205258413224395,0.854710387312843,"Pearson's product-moment correlation","two.sided"
"17","CFX","Salinity",0.513097975227204,1.6907950940271,0.129341459710707,8,-0.172139808103389,0.863698012935135,"Pearson's product-moment correlation","two.sided"
"18","CREN","Salinity",0.450691104989083,1.4279999438065,0.191143431568671,8,-0.249828182542452,0.841521419427793,"Pearson's product-moment correlation","two.sided"
"19","DELTA","Salinity",0.154246571869111,0.441559602818724,0.670499439736657,8,-0.526513508652668,0.714483845630452,"Pearson's product-moment correlation","two.sided"
"20","GAM","Salinity",0.119644478039758,0.340854110169972,0.741992138310063,8,-0.551529242746626,0.696781328146454,"Pearson's product-moment correlation","two.sided"
"21","OPI","Salinity",0.308685560097689,0.917922125807804,0.385497571511463,8,-0.398365727630851,0.785621230691533,"Pearson's product-moment correlation","two.sided"
"22","POL","Salinity",0.0776928279070646,0.22041473978157,0.831069095411463,8,-0.580321309864871,0.67433250326581,"Pearson's product-moment correlation","two.sided"
"23","ROS","Salinity",0.224494099831236,0.651596920663556,0.532929050028126,8,-0.4718231746108,0.748343938094943,"Pearson's product-moment correlation","two.sided"
"24","SAR11","Salinity",0.472462592784635,1.51622501316227,0.167933292895001,8,-0.22371257890891,0.849410585858746,"Pearson's product-moment correlation","two.sided"
"25","SAR202","Salinity",0.211806493010636,0.612986907752988,0.556905536605889,8,-0.482114021575581,0.742423926566386,"Pearson's product-moment correlation","two.sided"
"26","SAR324","Salinity",0.528475024826313,1.76071043245663,0.116320884625808,8,-0.151592399660474,0.86896152516125,"Pearson's product-moment correlation","two.sided"
