"","StationName","Depth","Domain","SMP_No","FOV_No","DAPI_Nr_Set","DAPI_Nr_SubSet","Volume","conc.DAPI","conc.FISH"
"1","EG1","DCM","CREN",11,1,76,0,30,252106.049464324,0
"2","EG1","DCM","CREN",11,2,103,0,30,341670.040721387,0
"3","EG1","DCM","CREN",11,4,88,0,30,291912.267800797,0
"4","EG1","DCM","CREN",11,5,68,2,30,225568.570573343,6634.36972274538
"5","EG1","DCM","CREN",11,6,87,0,30,288595.082939424,0
"6","EG1","DCM","CREN",11,7,80,0,30,265374.788909815,0
"7","EG1","DCM","CREN",11,8,73,0,30,242154.494880206,0
"8","EG1","DCM","CREN",11,9,109,1,30,361573.149889623,3317.18486137269
"9","EG1","DCM","CREN",11,10,104,0,30,344987.22558276,0
"10","EG1","DCM","CREN",11,13,89,1,30,295229.452662169,3317.18486137269
"11","EG1","DCM","CREN",11,14,98,4,30,325084.116414524,13268.7394454908
"12","EG1","DCM","CREN",11,16,97,1,30,321766.931553151,3317.18486137269
"13","EG1","DCM","CREN",11,17,78,0,30,258740.41918707,0
"14","EG1","DCM","CREN",11,20,94,0,30,311815.376969033,0
"15","EG1","DCM","CREN",11,21,102,0,30,338352.855860014,0
"16","EG1","DCM","CREN",11,22,90,0,30,298546.637523542,0
"17","EG1","DCM","CREN",11,23,118,2,30,391427.813641977,6634.36972274538
"18","EG1","DCM","CREN",11,24,97,3,30,321766.931553151,9951.55458411807
"19","EG1","DCM","CREN",11,28,90,2,30,298546.637523542,6634.36972274538
"20","EG1","DCM","CREN",11,29,63,0,30,208982.646266479,0
"21","EG1","DCM","CREN",11,31,77,0,30,255423.234325697,0
"22","EG1","DCM","CREN",11,32,99,0,30,328401.301275896,0
"23","EG1","DCM","CREN",11,34,85,1,30,281960.713216679,3317.18486137269
"24","EG1","DCM","CREN",11,36,67,0,30,222251.38571197,0
"25","EG1","DCM","CREN",11,41,114,0,30,378159.074196487,0
"26","EG1","DCM","CREN",11,42,109,1,30,361573.149889623,3317.18486137269
"27","EG1","DCM","CREN",11,44,95,1,30,315132.561830406,3317.18486137269
"28","EG1","DCM","CREN",11,46,104,2,30,344987.22558276,6634.36972274538
"29","EG1","DCM","CREN",11,47,96,0,30,318449.746691778,0
"30","EG1","DCM","CREN",11,48,91,1,30,301863.822384915,3317.18486137269
"31","EG1","DCM","CREN",11,49,113,0,30,374841.889335114,0
"32","EG1","DCM","CREN",11,50,106,0,30,351621.595305505,0
"33","EG1","DCM","CREN",11,51,113,1,30,374841.889335114,3317.18486137269
"34","EG1","DCM","CREN",11,53,117,1,30,388110.628780605,3317.18486137269
"35","EG1","EPI","CREN",2,2,62,0,30,205665.461405107,0
"36","EG1","EPI","CREN",2,3,49,0,30,162542.058207262,0
"37","EG1","EPI","CREN",2,4,49,1,30,162542.058207262,3317.18486137269
"38","EG1","EPI","CREN",2,5,55,2,30,182445.167375498,6634.36972274538
"39","EG1","EPI","CREN",2,6,58,3,30,192396.721959616,9951.55458411807
"40","EG1","EPI","CREN",2,7,64,2,30,212299.831127852,6634.36972274538
"41","EG1","EPI","CREN",2,8,51,1,30,169176.427930007,3317.18486137269
"42","EG1","EPI","CREN",2,9,52,2,30,172493.61279138,6634.36972274538
"43","EG1","EPI","CREN",2,10,65,2,30,215617.015989225,6634.36972274538
"44","EG1","EPI","CREN",2,11,42,0,30,139321.764177653,0
"45","EG1","EPI","CREN",2,12,61,0,30,202348.276543734,0
"46","EG1","EPI","CREN",2,13,58,0,30,192396.721959616,0
"47","EG1","EPI","CREN",2,14,40,0,30,132687.394454908,0
"48","EG1","EPI","CREN",2,15,55,1,30,182445.167375498,3317.18486137269
"49","EG1","EPI","CREN",2,16,62,2,30,205665.461405107,6634.36972274538
"50","EG1","EPI","CREN",2,17,69,0,30,228885.755434716,0
"51","EG1","EPI","CREN",2,19,66,1,30,218934.200850598,3317.18486137269
"52","EG1","EPI","CREN",2,20,62,1,30,205665.461405107,3317.18486137269
"53","EG1","EPI","CREN",2,21,63,1,30,208982.646266479,3317.18486137269
"54","EG1","EPI","CREN",2,22,43,2,30,142638.949039026,6634.36972274538
"55","EG1","EPI","CREN",2,24,63,2,30,208982.646266479,6634.36972274538
"56","EG1","EPI","CREN",2,25,52,1,30,172493.61279138,3317.18486137269
"57","EG1","EPI","CREN",2,26,66,2,30,218934.200850598,6634.36972274538
"58","EG1","EPI","CREN",2,27,42,3,30,139321.764177653,9951.55458411807
"59","EG1","EPI","CREN",2,28,66,2,30,218934.200850598,6634.36972274538
"60","EG1","EPI","CREN",2,29,45,0,30,149273.318761771,0
"61","EG1","EPI","CREN",2,30,22,0,30,72978.0669501992,0
"62","EG1","EPI","CREN",2,31,58,1,30,192396.721959616,3317.18486137269
"63","EG1","EPI","CREN",2,32,54,2,30,179127.982514125,6634.36972274538
"64","EG1","EPI","CREN",2,33,53,2,30,175810.797652753,6634.36972274538
"65","EG1","EPI","CREN",2,36,48,1,30,159224.873345889,3317.18486137269
"66","EG1","EPI","CREN",2,37,63,0,30,208982.646266479,0
"67","EG1","EPI","CREN",2,38,59,1,30,195713.906820989,3317.18486137269
"68","EG1","EPI","CREN",2,39,72,1,30,238837.310018834,3317.18486137269
"69","EG1","EPI","CREN",2,40,56,3,30,185762.352236871,9951.55458411807
"70","EG1","EPI","CREN",2,41,45,2,30,149273.318761771,6634.36972274538
"71","EG1","EPI","CREN",2,42,67,2,30,222251.38571197,6634.36972274538
"72","EG1","EPI","CREN",2,44,53,4,30,175810.797652753,13268.7394454908
"73","EG1","EPI","CREN",2,46,55,1,30,182445.167375498,3317.18486137269
"74","EG1","EPI","CREN",2,50,66,3,30,218934.200850598,9951.55458411807
"75","EG1","EPI","CREN",2,52,78,3,30,258740.41918707,9951.55458411807
"76","EG1","EPI","CREN",2,53,48,0,30,159224.873345889,0
"77","EG1","EPI","CREN",2,54,36,1,30,119418.655009417,3317.18486137269
"78","EG1","MESO","CREN",31,1,26,0,100,25874.041918707,0
"79","EG1","MESO","CREN",31,2,42,0,100,41796.5292532959,0
"80","EG1","MESO","CREN",31,3,52,1,100,51748.083837414,995.155458411807
"81","EG1","MESO","CREN",31,4,51,0,100,50752.9283790022,0
"82","EG1","MESO","CREN",31,6,44,0,100,43786.8401701195,0
"83","EG1","MESO","CREN",31,7,43,0,100,42791.6847117077,0
"84","EG1","MESO","CREN",31,10,31,0,100,30849.819210766,0
"85","EG1","MESO","CREN",31,12,50,0,100,49757.7729205904,0
"86","EG1","MESO","CREN",31,13,49,0,100,48762.6174621785,0
"87","EG1","MESO","CREN",31,14,37,0,100,36820.7519612369,0
"88","EG1","MESO","CREN",31,15,30,0,100,29854.6637523542,0
"89","EG1","MESO","CREN",31,16,33,1,100,32840.1301275896,995.155458411807
"90","EG1","MESO","CREN",31,17,37,0,100,36820.7519612369,0
