"","StationName","Depth","Domain","SMP_No","FOV_No","DAPI_Nr_Set","DAPI_Nr_SubSet","Volume","X","conc.DAPI","conc.FISH"
"1","EG1","DCM","ALT",11,1,110,7,30,NA,364890.334750996,23220.2940296088
"2","EG1","DCM","ALT",11,2,145,15,30,NA,480991.80489904,49757.7729205904
"3","EG1","DCM","ALT",11,3,125,16,30,NA,414648.107671586,53074.957781963
"4","EG1","DCM","ALT",11,5,91,5,30,NA,301863.822384915,16585.9243068634
"5","EG1","DCM","ALT",11,6,108,3,30,NA,358255.965028251,9951.55458411807
"6","EG1","DCM","ALT",11,7,131,3,30,NA,434551.216839822,9951.55458411807
"7","EG1","DCM","ALT",11,10,127,9,30,NA,421282.477394332,29854.6637523542
"8","EG1","DCM","ALT",11,14,90,4,30,NA,298546.637523542,13268.7394454908
"9","EG1","DCM","ALT",11,15,126,6,30,NA,417965.292532959,19903.1091682361
"10","EG1","DCM","ALT",11,16,129,3,30,NA,427916.847117077,9951.55458411807
"11","EG1","DCM","ALT",11,17,116,3,30,NA,384793.443919232,9951.55458411807
"12","EG1","DCM","ALT",11,18,125,9,30,NA,414648.107671586,29854.6637523542
"13","EG1","DCM","ALT",11,20,111,4,30,NA,368207.519612369,13268.7394454908
"14","EG1","DCM","ALT",11,21,120,9,30,NA,398062.183364723,29854.6637523542
"15","EG1","DCM","ALT",11,22,109,7,30,NA,361573.149889623,23220.2940296088
"16","EG1","DCM","ALT",11,23,151,5,30,NA,500894.914067276,16585.9243068634
"17","EG1","DCM","ALT",11,24,105,14,30,NA,348304.410444132,46440.5880592177
"18","EG1","DCM","ALT",11,25,131,5,30,NA,434551.216839822,16585.9243068634
"19","EG1","DCM","ALT",11,29,120,11,30,NA,398062.183364723,36489.0334750996
"20","EG1","DCM","ALT",11,30,134,3,30,NA,444502.77142394,9951.55458411807
"21","EG1","DCM","ALT",11,32,152,8,30,NA,504212.098928649,26537.4788909815
"22","EG1","DCM","ALT",11,33,116,4,30,NA,384793.443919232,13268.7394454908
"23","EG1","DCM","ALT",11,35,90,3,30,NA,298546.637523542,9951.55458411807
"24","EG1","DCM","ALT",11,36,121,14,30,NA,401379.368226096,46440.5880592177
"25","EG1","DCM","ALT",11,37,136,1,30,NA,451137.141146686,3317.18486137269
"26","EG1","DCM","ALT",11,38,152,10,30,NA,504212.098928649,33171.8486137269
"27","EG1","DCM","ALT",11,39,142,6,30,NA,471040.250314922,19903.1091682361
"28","EG1","DCM","ALT",11,41,130,11,30,NA,431234.03197845,36489.0334750996
"29","EG1","DCM","ALT",11,46,123,5,30,NA,408013.737948841,16585.9243068634
"30","EG1","DCM","ALT",11,47,135,16,30,NA,447819.956285313,53074.957781963
