"","sample_ID","StationID","StationName","Depth","Latitude..degrees_north.","Longitude..degrees_east.","Bot_Depth..m.","Depth.m.","Temperature","Salinity","Water_mass","Chla_fluor","NO3.NO2","SD","d(NO3.NO2)","NO2","SD.1","d(NO3)","d(NO2)","NO3","SiO3","SD.2","d(SiO3)","PO4","SD.3","d(PO4)","NH4","SD.4","d(NH4)"
"1","16","PS99/051-1","EG1","DCM","78.99","-5.418","1002","13","-1.5049","33.1704","PSWw","1.658","3.76","0.01","3.555","0.01","0","3.548333333","0","3.75","4.5","0","0.136666667","0.45","0","0.125","0","0","0"
"2","17","PS99/051-1","EG1","EPI","78.99","-5.418","1002","100","-1.1075","34.2284","AW","47","8.44","0.08","","0","0","","","8.44","4.04","0","","0.62","0","","0","0.01",""
"3","18","PS99/051-1","EG1","MESO","78.99","-5.418","1002","971","-0.1388","34.8931","EBDW","NA","12.6","0.06","","0","0","","","12.62","7","0.04","","0.83","0","","0","0.03",""
"4","14","PS99/048-11","EG4","DCM","78.816","-2.729","2605","24","-1.1738","34.4837","PSWw","1.52","4.96","0.03","6.356666667","0.04","0","6.343333333","0.013333333","4.92","2.44","0.14","2.376666667","0.49","0","0.341666667","0","0.02","0.08"
"5","19","PS99/048-11","EG4","EPI","78.816","-2.729","2605","100","3.8652","35.0533","AW","47","11.02","0.13","","0.05","0","","","10.97","4.83","0.17","","0.79","0","","0","0.02",""
"6","13","PS99/048-1","EG4","MESO","78.816","-2.729","2605","1000","-0.2384","34.914","EBDW","NA","13.76","0.05","","0","0.02","","","13.77","7.1","0.01","","0.91","0.02","","0","0.01",""
"7","15","PS99/048-1","EG4","BATHY","78.816","-2.729","2605","2527","-0.7587","34.914","EBDW","NA","14.95","0.16","","0","0.01","","","14.97","12.07","0.19","","1.04","0.01","","0","0.01",""
"8","45","PS99/066-05","HG1","DCM","79.138","6.088","1270","17","6.2711","35.3311","AW","3.415","NA","NA","","NA","NA","","","NA","NA","NA","","NA","NA","","NA","NA",""
"9","46","PS99/066-05","HG1","EPI","79.138","6.088","1270","100","4.3821","35.0895","AW","24","NA","NA","","NA","NA","","","NA","NA","NA","","NA","NA","","NA","NA",""
"10","43","PS99/066-05","HG1","MESO","79.138","6.088","1270","500","1.4606","34.9523","EBDW","NA","NA","NA","","NA","NA","","","NA","NA","NA","","NA","NA","","NA","NA",""
"11","44","PS99/066-05","HG1","BATHY","79.138","6.088","1270","1253","-0.8122","34.9086","EBDW","NA","NA","NA","","NA","NA","","","NA","NA","NA","","NA","NA","","NA","NA",""
"12","4","PS99/042-11","HG4","DCM","79.065","4.185","2461","28","0.4096","34.4399","PSWw","3.536","5.93","0.07","6.685","0.14","0.01","6.42","0.265","5.79","2.66","0.02","2.108333333","0.65","0.02","0.401666667","0.56","0.01","0.166666667"
"13","1","PS99/042-11","HG4","EPI","79.065","4.185","2461","100","3.5104","35.0405","AW","0.05","11.25","0.1","","0.37","0.03","","","10.88","4.16","0.12","","0.85","0.06","","0","0.01",""
"14","2","PS99/042-01","HG4","MESO","79.0645","4.185","2460.9","1000","-0.3457","34.9111","EBDW","NA","13.7","0.08","","0","0","","","13.71","7.7","0.02","","0.94","0.01","","0","0.01",""
"15","3","PS99/042-01","HG4","BATHY","79.065","4.185","2461","2462","-0.7298","34.9176","EBDW","NA","14.65","0.09","","0","0","","","14.67","11.59","0.03","","0.99","0","","0","0",""
"16","31","PS99/059-2","HG9","DCM","79.134","2.841","5569","24","-1.244","35.0892","PSWw","1.895","1.77","0.07","6.77","0.03","0","6.583333333","0.183333333","1.74","1.72","0.02","1.956666667","0.66","0","0.568333333","0","0.02","0.728333333"
