"","rowname","Temperature","Salinity","Chla_conc","d.NO3.","d.PO4.","d.SiO3.","NH4"
"1","ALT",0.032,0.28,-0.28,-0.12,0.27,-0.23,0.46
"2","ARCH",0.47,0.36,-0.5,-0.31,-0.21,-0.63,0.7
"3","BACT",0.41,0.52,-0.25,0.14,0.56,0.01,0.37
"4","CFX",0.12,0.4,-0.25,0.07,0.45,-0.12,0.64
"5","CREN",0.35,0.59,-0.3,-0.096,-0.094,-0.048,0.23
"6","DELTA",-0.4,0.046,-0.43,0.043,-0.15,-0.6,0.21
"7","EUB",0.6,0.5,0.22,0.17,0.59,0.14,0.37
"8","GAM",0.14,0.039,0.5,0.42,0.74,0.41,0.033
"9","OPI",0.61,0.38,-0.024,0.058,0.49,-0.02,0.58
"10","POL",-0.095,0.0043,0.59,0.33,0.54,0.25,-0.33
"11","ROS",0.78,0.49,0.055,0.26,0.54,0.092,0.62
"12","SAR11",0.79,0.61,-0.094,-0.15,0.3,-0.083,0.63
"13","SAR202",0.16,0.29,-0.51,0.23,0.33,-0.37,0.16
"14","SAR324",0.14,0.64,-0.39,0.21,0.22,0.031,0.024
"15","SAR406",0.035,0.26,-0.33,0.18,0.18,-0.29,0.74
"16","VER",0.68,0.061,0.2,-0.18,0.2,0.1,0.42
"17","Temperature",1,0.25,0.17,-0.35,-0.1,0.015,0.54
"18","Salinity",0.25,1,-0.34,0.026,0.33,0.18,0.19
"19","Chla_conc",0.17,-0.34,1,0.091,0.1,0.44,-0.34
"20","d.NO3.",-0.35,0.026,0.091,1,0.86,0.47,-0.0015
"21","d.PO4.",-0.1,0.33,0.1,0.86,1,0.49,0.12
"22","d.SiO3.",0.015,0.18,0.44,0.47,0.49,1,-0.33
"23","NH4",0.54,0.19,-0.34,-0.0015,0.12,-0.33,1
